Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,general.timeframe,general.asset,general.tfmin,general.performance_stat,general.datapath,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,master\data-raw\train_300klines.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\10\02_downsampled.rds,master\data-wip\1\10\03_precalculated.rds,master\data-wip\1\10\04_positions.rds,master\data-wip\1\10\05_pnl.rds,master\data-wip\1\10\06_wf_indexes.rds,master\data-wip\1\10\07_wf_metrics.rds,master\data-wip\1\10\08_wf_best_params.rds,master\data-wip\1\1\02_downsampled.rds,master\data-wip\1\1\03_precalculated.rds,master\data-wip\1\1\04_positions.rds,master\data-wip\1\1\05_pnl.rds,master\data-wip\1\1\06_wf_indexes.rds,master\data-wip\1\1\07_wf_metrics.rds,master\data-wip\1\1\08_wf_best_params.rds,master\data-wip\1\5\02_downsampled.rds,master\data-wip\1\5\03_precalculated.rds,master\data-wip\1\5\04_positions.rds,master\data-wip\1\5\05_pnl.rds,master\data-wip\1\5\06_wf_indexes.rds,master\data-wip\1\5\07_wf_metrics.rds,master\data-wip\1\5\08_wf_best_params.rds,master\rcode\01_convert_to_xts.R,master\rcode\06_wf_calculate_indexes.R,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.R,master\rcode\logic\WfHelper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml
chary-robe,c01b8d9,branch_commit,2023-09-30T10:51:41,,2.4494618,0.0020283,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,4,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,d4fd782dc749abd785bf11d9cb39be62,163d0282bb51dd0ef743a79992ab3706,dcde099eeaad74bf6b487c25dfd27ec1,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

ample-iglu,50e2210,branch_commit,2023-09-30T10:51:31,,-4.5260184,0.0075553,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,faef25486f3abdb69c95c1fd0e3dfb10,596a439758be0f9ff09edb176d33799d,c5f863015c7a2c4600e115ba4b68ba48,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

muted-mome,7082e86,branch_commit,2023-09-30T10:51:15,,-1.692321,0.0051011,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,d2c6c00a1a4213c01ffc8ea233663390,5863f74d207946ca49e1a3c944961ca9,945ade8921e94c1747029ffc92d443f9,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

paper-ally,a9094a4,branch_commit,2023-09-30T10:50:58,,1.5353121,0.0020425,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,04ee58d78bcd34e5c087cd51d14096df,22c9111b6e2b0aaf32eca3ca3709ea48,2a43b6b915386921524d2d667ade627e,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

terse-hose,6b3792d,branch_commit,2023-09-30T10:50:48,,-1.8619772,0.0074625,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,af71a705ccb9ca34aacdfa6758c8f3c2,2a2e3fbd64442119c9fe8c48b8958897,33eca14028804f5435ea3be99d802625,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

nicer-sley,c7eb0b3,branch_commit,2023-09-30T10:50:31,,-0.7651728,0.0050615,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,25ea9bc88d31c56ed5faedc2d90b8461,5e52f87d8a2d5d56b4bafd1021d9e997,4646e2d98ee7eb71ade564bcfd115339,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

zinky-maul,9f51944,branch_commit,2023-09-30T10:50:13,,1.0119881,0.0020105,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,286c4d2aa65a7471aa0afa0bc271fd59,899873b3833d87adb766394ae7bc792e,2100523b52287ba01dd90d033d898f17,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

minor-lamb,11d97f0,branch_commit,2023-09-30T10:50:01,,-1.3603593,0.007464,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,e3c820d3ad486aa753ff786f5e70059b,a73126f7406ff18d629f46a11f3fde83,e00c0ab1f44ebc411301325b0d9151f2,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

fiery-pony,f7ae62c,branch_commit,2023-09-30T10:49:45,,0.3421194,0.0050626,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,fbaa760d989fd6a0ebe8452a16af331d,cc7491e28497f66cdb1bf22d9b52a1e8,0bfad967413c942c481c039c5811b129,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

dowdy-juts,b730c89,branch_commit,2023-09-30T10:49:28,,1.8978934,0.0019966,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,6a01b4fbd7b2306d8940104cbb0ed6b8,aebfa11a98e8369b3277d1386e094a51,253b12f57c22f796f37abe779524eb85,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

fuzzy-play,bc8b8ff,branch_commit,2023-09-30T10:49:17,,-0.9949396,0.0075211,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,8a32feeef8c92f0f3e95c8a671af6889,39cc039efff8f07b4e3f23d58efbf56d,62f4d0870a1c1e4942816436be92a61c,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

runty-chat,5d1c795,branch_commit,2023-09-30T10:49:00,,-3.1339978,0.0050908,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,dc6ffbc8cf86ef6e8fe090fbc8d24789,65843a1e6287a051b946cbc194763c0a,4a9f9fb9391dab9d04613b4c3f8a25db,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

lushy-huck,3b208b4,branch_commit,2023-09-30T10:48:43,,1.2691108,0.0019714,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,7f4628d29e85ca3c998fa237ee206a27,03bbf98d3f33a46eb6f835c54a7b02f6,55357a77d159dbe164b255b9ee4bb96c,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

hired-gram,b92546e,branch_commit,2023-09-30T10:48:31,,-0.4618883,0.0074266,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,cbfd990ea91c07f061cd180cffe629b5,84d7de73a8ef72e5958e36fef9f6afad,a73d8d5263ea67fad00d88ff490babf7,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

dread-cwms,7365ced,branch_commit,2023-09-30T10:48:13,,-1.4141495,0.0050187,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,199bd36f2416dd6603e92a346f17019c,559cfe628af3242e52f25824a07c6888,e82d5fbf3c2e27c68dfe0dd0f83fd298,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

later-rial,092f230,branch_commit,2023-09-30T10:47:53,,0.9826363,0.0019712,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,ac336bf2bd1c2d590f908e1fc6cc5d87,1cb5fda8235678d8e3cd02a64c6415bb,6235b4770cc436cdabecc7a6a4f4bc12,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

tarry-gang,b63160e,branch_commit,2023-09-30T10:47:40,,-3.8518511,0.0073522,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,5fe41268c7adb850fe3243dc90415ad8,108631e3aefe6258cbfc17ed8614705e,fbdeeb349489bebd7798f3e2ffe4ed5f,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

ruled-eyas,631ebd8,branch_commit,2023-09-30T10:47:21,,-1.1639204,0.004987,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,c444343a8fae5f6fa65cc5d819d56960,28cfd523abcf9982a3b7ad791451a356,d4d4366877a0bd7fa41855ac3c4f699d,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

pique-dabs,9adb751,branch_commit,2023-09-30T10:47:01,,1.2328632,0.0019696,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,df082e44b96ba45cd5b989d70f84b83f,365c148260e3decc296807952aabdbde,e28152dd3c9ea476bfca0056998824e2,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

erect-nark,ac10b9f,branch_commit,2023-09-30T10:46:48,,-0.7921187,0.0072416,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,c94e4b7fc1306d3f92c0625b8958c34a,cad9f80c59b291e948d67161a58bf895,76bbc965612a0c15d6cfe6ab76724a81,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

