Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,ir2,sortino_ratio,start,end,sharpe_ratio_full,stdev_full,ir2_full,sortino_ratio_full,start_full,end_full,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,wf.day_clip_front,wf.day_clip_back,master\data-raw\train_3mln.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.r,master\rcode\05_calculate_pnl.r,master\rcode\06_wf_calculate_indexes.r,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.r,master\rcode\logic\WfHelper.r,master\rcode\logic\WfHelper.yaml,master\rcode\logic\helpers\data_helper.r,master\rcode\logic\helpers\metrics_helper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml
apeak-bait,0bd4123,branch_commit,2023-11-06T15:53:49,,1.6206297,0.0074555,2.6332197,2.3768897,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,1.4375914,0.0081788,3.0631565,2.0787354,start 2018-03-04 01:59:00,end 2018-09-02 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,14,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,853d01ec593846921ac01693bf46419f,1f40805a59c0197b2273051f4a4a977e,4689939d79c12c0c9386698dae37f87b,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

runty-soya,0554b91,branch_commit,2023-11-06T15:53:30,,1.2934355,0.007461,1.080312,1.8820819,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.8987131,0.0082208,0.7662263,1.2911454,start 2018-03-04 01:59:00,end 2018-08-31 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,10,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,c9deeff37c778934e48e6d45de3955c5,c0f1907eef2d4a216e2d0836cca925df,931d73d3eb43468526898286050d45c2,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

sable-eyot,0bd69a6,branch_commit,2023-11-06T15:53:10,,0.2871643,0.0074638,0.048694,0.4119339,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.4581346,0.0081849,0.1832294,0.6530932,start 2018-03-04 01:59:00,end 2018-09-02 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,7,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,173310d0f19ed887db804d8812d1e25a,23aab9ce65eda6ad3b5e24953b1f0585,94e20a4f79eade9652fc03decb94f3ba,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

pithy-send,87a270a,branch_commit,2023-11-06T15:52:45,,1.2947029,0.0074563,1.3954595,1.8838156,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,1.0106164,0.008218,1.2494898,1.457628,start 2018-03-04 01:59:00,end 2018-08-31 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,5,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,9ff44597714c53fede8ed061dd388585,c7d9b29adef401d31ab58617b59c6bc4,2d6cf46a2cc66c377eef14147692609d,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

hazel-dado,d44a5c3,branch_commit,2023-11-06T15:52:25,,0.90919,0.0074599,0.6582588,1.3195295,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.4067228,0.0082197,0.1926698,0.5828735,start 2018-03-04 01:59:00,end 2018-08-31 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,3,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,d56596c747c7da570f7d998472fe3aa6,68a61f707714638f1e9ebbbc11afdba2,9b3a763ee58215143ba44ccb24cdb600,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

often-frit,e4b66a5,branch_commit,2023-11-06T15:51:56,,0.363428,0.0074629,0.0774353,0.5251162,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.1101273,0.008186,0.0101592,0.1571792,start 2018-03-04 01:59:00,end 2018-09-02 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,2,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,4ec2dcb7df689906ffd349e2d02c0b5a,366887756c4d1de45e760903ac286dad,55e0f3fcc3ea0be200a497ac8b50f2a3,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

frank-halm,c7ccdd6,branch_commit,2023-11-06T15:51:25,,0.6646765,0.0074604,0.3419051,0.958924,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.1174131,0.0081848,0.0131142,0.1673315,start 2018-03-04 01:59:00,end 2018-09-02 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,1,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,8c9802584eeb932097440bd569429c1b,070c4c7006b7cdfedd1eeb566bc6c6b8,bc3b9fa10be05a0483621f77165719fe,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

runny-tole,15d35c4,branch_commit,2023-11-06T15:51:05,,2.3593845,0.0074569,5.8342133,3.4796641,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,2.1339574,0.0083812,6.6754342,3.0952892,start 2018-03-01 01:59:00,end 2018-08-16 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,79639e004c39ad75d1d426914ac39b6c,ca629f473453d1354b2c2c8061f4cdda,7177ec22b0fb4f2cb5e2187166e17af3,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

finer-zack,1d27159,branch_commit,2023-11-06T15:50:40,,2.2357938,0.0074608,7.0548501,3.3052449,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,2.4065274,0.0083809,10.8031887,3.5143494,start 2018-03-01 01:59:00,end 2018-08-16 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,21,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,c7ed236a0de639ec77bf5a0e38d2748f,3b6c093edecafc8a07e7808010a7ba43,231544466f673d590b2c7f58993733ab,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

bosky-ankh,31ba350,branch_commit,2023-11-06T15:50:21,,2.2419675,0.007459,7.1416633,3.3098651,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,2.0029359,0.00822,4.9240565,2.9144948,start 2018-03-01 01:59:00,end 2018-08-30 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,14,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,0e02b08440b17c1f23c2ff8ab86b08fc,bb6ff733d34c690772b06c8dcfab1f2d,7b7a43c5720af1c5f3bc888d84068f81,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

pudgy-pees,3197df3,branch_commit,2023-11-06T15:49:55,,1.4279148,0.0074595,1.5744606,2.0824337,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,1.3855147,0.008254,2.1869878,1.999489,start 2018-03-01 01:59:00,end 2018-08-28 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,10,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,b9f4c9d53fb2c38b09d6539c7742f6fd,ba659f25ca388ce07410ea3d35617de2,ee2405c88d1ddaf4de4937506d515eb0,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

based-clip,875ef08,branch_commit,2023-11-06T15:49:28,,1.6551492,0.0074595,2.09009,2.4326886,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,1.5084532,0.0082214,2.5794547,2.190885,start 2018-03-01 01:59:00,end 2018-08-30 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,7,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,576698558ff993f583e79c96125abfc8,2acf1a7d116d2cecaace3a528bbaa823,a3a76e44dad5e38641a0479f361966c0,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

shier-yegg,08b18aa,branch_commit,2023-11-06T15:49:01,,0.6640806,0.007464,0.2518646,0.9580966,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.9284227,0.0081729,0.7386785,1.3321115,start 2018-03-01 01:59:00,end 2018-09-02 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,5,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,a3dda72fa48b81e2fb8e4cd560eb91f9,ca3ca5b8adab2ba493c2edb58c698517,5ea3b0b7db88e34deaa416e8c9f655a8,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

yolky-snob,ceffff3,branch_commit,2023-11-06T15:48:32,,0.2896106,0.0074633,0.043743,0.4166832,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.0019041,0.0082101,2.8196101e-06,0.0027106,start 2018-03-01 01:59:00,end 2018-08-31 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,3,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,d39f51815f40319c78f62e93c11e68d0,8e414c1886fdeb28624d2c8831cbd1bf,5c6077cf9b076daacd33370c8bd31481,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

baser-brig,c6bb9a2,branch_commit,2023-11-06T15:48:03,,0.6857001,0.0074646,0.3663568,0.9854276,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.0737437,0.0081918,0.0054485,0.1047249,start 2018-03-01 01:59:00,end 2018-09-01 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,2,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,63603295db9e3d6078d62e32e95ea2e2,86480e70d3ba8de2c151196b3184d632,3a9f537b642a0603a35b7f41202a79ec,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

faced-yogi,98ce2e8,branch_commit,2023-11-06T15:47:32,,0.5883075,0.0074629,0.2361504,0.8452808,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.0035956,0.0081743,1.1779428e-05,0.0051178,start 2018-03-01 01:59:00,end 2018-09-02 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,1,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,3752dcb043a53d1c6ae6f9a14b2ad045,7da5f7f85604846f4e2700bb93fa0cf9,512adea8ce165ff4bd9a669e9d4a958c,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

tough-gigs,4df3471,branch_commit,2023-11-06T15:46:55,,1.9491521,0.0074604,4.5895933,2.8580612,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,1.9165113,0.0083884,6.2086568,2.7667929,start 2018-02-27 01:59:00,end 2018-08-14 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,28,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,31bd00c1a000da1bbe70c3cfeb6074a0,c661066b90cff874859bed1fbfda92ff,6c4fb4f99c57eea4ecf3646208609a5a,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

