Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,ir2,sortino_ratio,start,end,sharpe_ratio_full,stdev_full,ir2_full,sortino_ratio_full,start_full,end_full,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,wf.day_clip_front,wf.day_clip_back,master\data-raw\data_test_20180101_20190630.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.r,master\rcode\05_calculate_pnl.r,master\rcode\06_wf_calculate_indexes.r,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.r,master\rcode\logic\WfHelper.r,master\rcode\logic\WfHelper.yaml,master\rcode\logic\helpers\data_helper.r,master\rcode\logic\helpers\metrics_helper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml

,workspace,baseline,,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

,data_1.5_year,baseline,2023-12-12T21:52:56,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

frail-whit,0e8d4df,branch_commit,2023-12-12T23:06:18,,0.7720103,0.0077483,0.9728093,1.1017843,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.7592395,0.0078879,0.9427844,1.0731959,start 2018-02-06 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,6b385e42971e71d9179aa7fe14b0434c,395c8817a375df5dfe9fa85cc36e4b83,00ad9f9c7f0038c3a9b7bd82528ff8b0,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

busty-esne,2207dbc,branch_commit,2023-12-12T23:05:41,,0.7562639,0.0077491,0.9307256,1.0791539,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.7078513,0.0078889,0.8195919,1.0005789,start 2018-02-06 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,21,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,52ca3c6e6cdd4d6bd32ba7116902c4a0,8891187f806a3830dc7f09c6d1e7818e,09757401573bfa9fee297538aaab2bef,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

above-eyry,b20a7a3,branch_commit,2023-12-12T23:05:05,,1.2039651,0.0077461,2.2901377,1.7389528,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.1237877,0.0078862,2.065047,1.6057987,start 2018-02-06 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,14,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,16b9e687d02aaae9d337be10d4e98b2e,501a55cfde492158c87651bf2b90a2fe,ebfb0552836d0dc0be6b5d414c20a0fd,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

xeric-sash,4e02d37,branch_commit,2023-12-12T23:04:28,,1.1320903,0.0077436,2.3188867,1.6313524,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.9142106,0.0078704,1.3530716,1.3014854,start 2018-02-06 07:59:00,end 2019-06-21 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,10,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,de8848421beecbcebdb5daf25659534f,9d53d19f8b1c43ddf7a1f58f69c46705,53590a3c82ffc64e422efb10c740b530,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

woven-ibex,8fd02e2,branch_commit,2023-12-12T23:03:46,,0.9968133,0.0077435,1.7470675,1.4332075,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.9323613,0.0078837,1.4210042,1.3269121,start 2018-02-06 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,7,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,3a1d56c9da15b6a7abbef20099464a8d,70a51bc346a67e133461f91379fb2f4a,d95dfdae038ba46af2d2340567f5faa2,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

timid-jinn,77094bb,branch_commit,2023-12-12T23:03:04,,0.8894021,0.0077439,1.1311379,1.2735897,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.9375995,0.0078903,1.3295326,1.3311459,start 2018-02-06 07:59:00,end 2019-06-26 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,5,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,acbbd9b6295fb9fab3fc2d548a78f8ce,e8c00d27dde6cb392845dfaf8a3f8415,a8b8dbc7c53e810ccb9c2e72ee620bf6,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

acerb-jogs,558c7cc,branch_commit,2023-12-12T23:02:20,,0.8730633,0.0077437,1.0248691,1.2491106,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.9089896,0.0080279,1.2190567,1.2878265,start 2018-02-06 07:59:00,end 2019-06-28 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,3,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,331148b2b155a34b2c8ee3b49609d198,2d39361adff7c8eed147cd7728d539b7,efe9fc35954d43852cd4e31b0bc8e54a,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

braky-ados,f53947b,branch_commit,2023-12-12T23:01:21,,1.0259077,0.0077429,1.4799886,1.473141,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.9153936,0.0080563,1.3002282,1.2978723,start 2018-02-06 07:59:00,end 2019-06-29 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,2,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,7ec2957165590db65da9b2ff37982c37,47644a445469e112b79f0817e21f68c8,c2f2ff8072a995358714ec2bd76dce04,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

wonky-harl,66b9f12,branch_commit,2023-12-12T23:00:01,,0.9365958,0.0077427,1.3051837,1.3432444,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.8266911,0.0080616,1.1250385,1.1713588,start 2018-02-06 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,1,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,66d7b22ca0cdac23862596920e2a6cae,129d81c265ca115320438801145262ca,a871ad0b9e3441c75c8deb6c5f6335bf,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

grave-akes,4228359,branch_commit,2023-12-12T22:58:09,,1.1169336,0.0077424,2.0647759,1.6151633,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.4783416,0.0081838,3.7085103,2.129882,start 2018-01-30 07:59:00,end 2019-06-18 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,97c436ab0506bb73150204185a2a8a11,1148458c6f3ba5959dc4da2ebb98dcc3,c15b47d31dea237876019dbdbd3d187e,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

miffy-clay,5301dd0,branch_commit,2023-12-12T22:57:27,,1.0812181,0.0077466,1.8821594,1.5620397,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.3441631,0.0081879,3.0674048,1.9287371,start 2018-01-30 07:59:00,end 2019-06-18 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,21,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,71de4d05bb7a5a2f340259d91ed066e3,2208427d6cdb7babd6d4db91a769177a,462c0a4d6efee7772d4a3ed576825b5f,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

silly-pate,571bd35,branch_commit,2023-12-12T22:56:46,,1.3128973,0.0077425,3.0003531,1.9025593,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.6493966,0.0081844,4.6166919,2.3797282,start 2018-01-30 07:59:00,end 2019-06-18 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,14,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,61034528ce728fce7ae4440d9766c4bc,0860078dfef823fc41fbf36e09cb154f,9e38e3746c402a2cbb64d8ab540ab8f7,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

mauve-ions,2e54558,branch_commit,2023-12-12T22:56:04,,1.4178015,0.0077426,3.3880574,2.0556182,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.7392024,0.0081843,5.7378623,2.5068246,start 2018-01-30 07:59:00,end 2019-06-24 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,10,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1de476369dbbd448bc00375263fa447b,b8e34bb760ba4a55e48626ccdbd7873f,d9205369da94f0c4315eb2111a4b0ac5,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

