Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,ir2,sortino_ratio,start,end,sharpe_ratio_full,stdev_full,ir2_full,sortino_ratio_full,start_full,end_full,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,wf.day_clip_front,wf.day_clip_back,master\data-raw\data_test_20180101_20190630.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.r,master\rcode\05_calculate_pnl.r,master\rcode\06_wf_calculate_indexes.r,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.r,master\rcode\logic\WfHelper.r,master\rcode\logic\WfHelper.yaml,master\rcode\logic\helpers\data_helper.r,master\rcode\logic\helpers\metrics_helper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml
stray-skis,3eb8a13,branch_commit,2023-12-12T22:55:11,,1.134268,0.0077415,2.2421829,1.6367942,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.522648,0.0081787,3.9863012,2.1865733,start 2018-01-30 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,7,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,d0cf6a7fe9abd8378932215ab990824f,c2c1bca2768c8e3a79ba4afba7b0b40b,8ed1a0eed5c8f37962ba4a2217f9cd02,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

nubby-tint,0bea62c,branch_commit,2023-12-12T22:54:21,,1.2635676,0.0077436,2.5350957,1.8288032,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.5058751,0.0083427,4.1707019,2.154503,start 2018-01-30 07:59:00,end 2019-06-29 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,5,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,8db630d492daca338bd6618d18bc734a,bafc10d70f99bc803f6ff3e222695252,f1651c5feb1389a598dc3843e8aea854,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

ebony-heel,f0e1839,branch_commit,2023-12-12T22:53:34,,0.9381038,0.007743,1.2814442,1.3518447,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.3576328,0.0083468,3.0131319,1.9406738,start 2018-01-30 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,3,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,efe6656ccdedefa8127a80dda055723d,8a0ceda6bb54e969913c15b7e4a44bef,295ccb12cd207c718214373e93e7bab1,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

undue-tire,523bd2f,branch_commit,2023-12-12T22:52:31,,0.9417494,0.0077415,1.2894635,1.3556748,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.3763619,0.0083456,3.1985066,1.9661844,start 2018-01-30 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,2,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,0c2db2f081dcdb52c8b3aee6468d4548,0278d6e7d057d88b4da5bd15f544c827,55ef267b8a9503c5a05871b87440b8a7,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

nodal-erns,99ccab2,branch_commit,2023-12-12T22:51:21,,1.0284859,0.0077432,1.5835287,1.4813713,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.4403226,0.008347,3.6064035,2.058446,start 2018-01-30 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,1,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,aae8ad809eab1322cf1626f2a83f487d,7cde00388c992742685c60951d9fc495,d84deb1e1457c340c18e201d12e0c467,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

slant-lahs,e8ec6f7,branch_commit,2023-12-12T22:49:37,,1.0080057,0.0077425,1.5667803,1.4547262,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.0310367,0.0082854,1.8456876,1.4706621,start 2018-01-23 07:59:00,end 2019-06-11 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,e36f65953e7facfeb8c28363a7012cff,001054847e27bb528f8e757b3e0f51fd,c55d4f9c379434a32905cf23effee157,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

huger-hack,ae13395,branch_commit,2023-12-12T22:48:47,,1.1481265,0.0077437,2.1575736,1.6564951,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.1957723,0.0082868,2.635223,1.7087741,start 2018-01-23 07:59:00,end 2019-06-11 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,21,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,868a25a08c17e69b38a4c2246a3e9767,da574782084361bb97d5be1902b6d540,ab11017719148c14db094a97ef5ffd30,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

vogie-hose,2240e9b,branch_commit,2023-12-12T22:47:56,,1.3617673,0.0077427,3.2715995,1.9700938,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.51588,0.00826,3.9909164,2.169876,start 2018-01-23 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,14,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,83df1b3811db9a15cbf7fe68dcce62f4,6f9a2cf4579874901cfa241e1faea7f5,478ae411dcafb076e0ff6a5c4badb8ee,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

silky-gale,6a97185,branch_commit,2023-12-12T22:47:07,,1.4602064,0.0077438,4.5513891,2.1123925,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.4893329,0.0083389,5.5350823,2.1298525,start 2018-01-23 07:59:00,end 2019-06-27 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,10,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,c0fc28de9b17665231e404157d3faa9a,542ff35da93e2f9a5814c5458dc37b7c,83cb4defccf225c2cf4917290ebe51ae,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

faint-kefs,1878f7b,branch_commit,2023-12-12T22:46:20,,1.1695747,0.0077445,2.7911002,1.6745731,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.2694131,0.0082617,2.79923,1.8007035,start 2018-01-23 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,7,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,68f2d64f81696541f9d2af5eabf3aa64,b999dc1a6d6a140ae3c692710d21bad1,e8dbe5c3102a1d303ca15a794ee0d72f,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

minus-over,344fdae,branch_commit,2023-12-12T22:45:29,,0.8464883,0.0077452,1.1058753,1.207434,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.929977,0.0083399,1.4000724,1.3126186,start 2018-01-23 07:59:00,end 2019-06-27 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,5,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,ae71f3617dcf0aaa8bffa6e840f4e480,a33344cc7a9dd26b5af6b8347c3e3d89,89ee2f3327981f11c977a5620412038e,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

olive-help,e5d1ec1,branch_commit,2023-12-12T22:44:33,,1.3627815,0.0077421,3.5663897,1.9626749,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.2840276,0.0084176,3.303784,1.8197578,start 2018-01-23 07:59:00,end 2019-06-29 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,3,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,4445c475b0826421d6595e2f28c5c831,46958b7fdef8a7397dabc8674a973a91,c2b84af7f0c60c3c075d203a83c66060,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

vapid-trug,f50b2f7,branch_commit,2023-12-12T22:43:27,,1.1415094,0.0077422,1.9668266,1.6341532,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.1198849,0.0084174,2.2428802,1.5800684,start 2018-01-23 07:59:00,end 2019-06-29 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,2,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,00137f1b32e902ffd260e04f24af85b8,6248479653889270752dcc812ecaacd4,b9adaf1cf3462dbf4f3c430d3c61f107,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

gammy-dolt,a6838bb,branch_commit,2023-12-12T22:42:18,,0.8678893,0.0077422,1.1463845,1.2367781,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.921325,0.0084215,1.527136,1.2952761,start 2018-01-23 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,1,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,03449e7c037159da2536ee25912367a2,7340f19ba3d5a03dd439c9077fa36c1d,bb38734aec97bee904a6226450360bcc,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

cauld-wont,0e7457c,branch_commit,2023-12-12T22:40:32,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

techy-corm,6d38722,branch_commit,2023-12-12T22:40:02,,1.0689769,0.0077438,2.141753,1.5435146,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.1304376,0.0084953,2.6262414,1.614468,start 2018-01-19 07:59:00,end 2019-06-28 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,21,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,158c433cc5aa6d016a79ec4850dab2e4,7054af34c6f958ec635947d3f1f12072,bfbd7245479790389fd42499bc19a740,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

